DateTime, Latitude, Longitude, Temp, Humidity, Pressure, Yaw, Pitch, Roll, MagX, MagY, MagZ, AccX, AccY, AccZ, GyroX, GyroY, GyroZ, State
42:12.4,32.90815298,-80.10053636,32.751,36.418,1018.866,200.40513,358.89797,5.418565,-17.637671,17.039486,86.137703,-0.015304,0.035691,0.787872,0.379868,0.219332,0.014702,walking
42:12.6,32.90815298,-80.10053636,32.982,36.713,1018.863,201.58454,358.405444,7.038234,-17.805069,17.2806,85.322708,0.038549,0.161214,0.679914,0.327333,0.041875,0.016229,walking
42:12.7,32.90815298,-80.10053636,32.858,36.434,1018.863,200.705905,357.672477,9.947587,-18.260386,18.203104,85.078964,0.195654,0.242307,1.019384,-0.375162,0.069975,0.212317,walking
42:12.9,32.90815214,-80.10052583,32.947,36.375,1018.881,193.67111,352.988953,14.614446,-17.437632,18.392071,85.421402,0.087765,0.234538,0.635561,-0.114017,-0.253783,-0.01462,walking
42:13.1,32.90815214,-80.10052583,32.965,36.401,1018.878,189.482292,348.974266,14.225489,-15.757689,18.042219,86.02755,0.190078,0.098088,0.671872,0.069854,-0.182618,-0.223841,walking
42:13.2,32.90815214,-80.10052583,32.911,36.022,1018.889,187.226417,346.748034,13.060059,-14.221887,17.035109,87.013199,0.128496,0.177239,0.950661,0.090318,-0.277913,-0.490484,walking
42:13.4,32.90815214,-80.10052583,32.805,36.228,1018.888,187.429082,351.107814,9.752626,-13.939878,15.759424,87.543655,0.09019,0.02695,1.055451,0.339856,-0.392755,-0.993226,walking
42:13.6,32.90815214,-80.10052583,32.822,36.228,1018.886,187.523134,351.492611,8.525211,-13.996261,14.180339,88.293571,0.15759,0.025493,0.649452,0.124221,-0.248897,-0.394273,walking
42:13.7,32.90815214,-80.10052583,32.911,36.394,1018.886,186.147466,349.931968,8.022491,-13.459683,13.102454,88.307068,0.234203,0.206859,0.848552,0.048536,-0.143208,0.11706,walking
42:13.9,32.90815214,-80.10052583,32.893,36.384,1018.881,187.998106,348.823384,8.26846,-12.831499,12.845056,88.369133,0.253356,0.006798,1.31377,-0.533924,0.123435,0.673864,walking
42:14.1,32.90815214,-80.10052583,32.947,36.235,1018.881,195.057489,352.54086,5.361372,-11.932049,13.259721,88.538261,0.055278,0.000243,1.0033,0.10779,0.026613,0.265501,walking
42:14.2,32.90815214,-80.10052583,32.911,36.285,1018.881,196.069176,352.880513,6.47949,-11.229911,13.617286,88.661423,0.055278,0.238908,0.708914,0.179423,0.056482,0.264215,walking
42:19.0,32.9081429,-80.10050475,32.521,35.993,1018.922,205.73093,358.475938,343.08183,-16.808481,10.843254,93.218811,0.073946,-0.033048,0.928729,-0.180376,0.086415,0.053772,go_up
42:19.2,32.9081429,-80.10050475,32.521,36.089,1018.92,205.540094,359.351527,343.453515,-23.143354,7.559637,97.720497,0.061824,-0.040767,0.957485,0.014847,0.105983,0.010526,go_up
42:19.4,32.9081429,-80.10050475,32.627,35.803,1018.923,205.346813,359.563259,344.825553,-26.048414,6.287164,98.55146,0.073946,-0.045833,0.90972,0.018067,0.029345,0.084336,go_up
42:19.5,32.90814206,-80.10049421,32.716,35.574,1018.929,205.85502,356.38271,344.160122,-26.066105,6.221264,98.82386,0.030063,-0.077434,0.951149,-0.114797,-0.581215,-0.033866,go_up
42:19.7,32.90814206,-80.10049421,32.556,36.288,1018.918,208.989476,354.475741,344.443935,-22.89315,6.74553,99.486298,0.11201,-0.029671,0.870729,0.062965,0.012852,0.372665,go_up
42:19.9,32.90814206,-80.10049421,32.698,36.285,1018.913,211.124061,1.107539,343.139241,-20.536842,7.493827,99.20562,0.048247,-0.079363,1.013291,-0.130068,0.788651,0.555924,go_up
42:20.0,32.90814206,-80.10049421,32.627,35.84,1018.922,214.760358,5.557872,342.547688,-20.99143,8.688266,97.256935,0.04364,-0.075504,0.976006,-0.055543,0.147548,0.475901,go_up
42:20.2,32.90814206,-80.10049421,32.609,35.66,1018.924,218.108352,6.533836,343.068642,-21.295351,9.962313,95.364807,0.091887,-0.077916,0.957241,-0.023472,0.0718,0.204066,go_up
42:20.4,32.90814206,-80.10049421,32.68,36.458,1018.933,216.227373,5.394148,345.356052,-21.470255,11.290357,94.07119,0.136739,-0.040043,1.017191,0.369925,-0.240657,-0.352433,go_up
42:20.6,32.90814206,-80.10049421,32.68,34.794,1018.933,210.16375,359.733567,350.406956,-21.905069,12.252113,94.149109,0.140376,-0.038837,0.850746,0.336938,-0.48592,-0.988954,go_up
42:20.7,32.90814206,-80.10049421,32.698,36.013,1018.929,202.387142,358.244556,351.703116,-20.693956,12.535021,95.759094,0.076613,0.089105,1.004031,-0.146562,0.073633,-0.471551,go_up
42:20.9,32.90814206,-80.10049421,32.574,34.893,1018.931,196.18727,357.967197,355.158553,-19.601665,12.379701,97.045258,0.21311,0.209287,0.910451,0.314642,-0.139865,-0.214377,go_up
42:21.1,32.90814206,-80.10049421,32.432,35.85,1018.935,191.766813,351.770812,359.366389,-17.724216,12.676416,98.580292,0.194927,0.235509,0.968451,0.205297,-0.613896,-0.051276,go_up
42:21.2,32.90814206,-80.10049421,32.343,36.245,1018.931,186.104886,347.865166,5.024199,-13.931071,15.373987,99.874565,0.137709,0.107072,0.837342,0.178113,-0.263259,-0.585783,go_up
42:21.4,32.90814206,-80.10049421,32.361,36.149,1018.924,178.395375,344.214209,8.410943,-11.787374,18.597462,99.431046,0.143528,0.292565,0.650183,-0.004841,-0.262648,-0.539968,go_up
42:21.6,32.90814206,-80.10049421,32.201,35.328,1018.918,170.759292,342.911166,10.535347,-10.989699,21.399137,97.507179,0.14474,0.213657,0.824426,-0.026221,-0.184763,-0.553713,go_up
42:21.8,32.90814206,-80.10049421,32.201,35.836,1018.909,175.074769,349.71012,4.715446,-12.300919,23.234753,95.116478,0.210686,-0.052346,1.079577,-0.032941,0.518037,-0.08915,go_up
42:21.9,32.90814689,-80.10049238,32.201,36.58,1018.905,175.96085,355.01635,1.652127,-15.636053,24.376776,92.221001,0.15565,0.208073,0.860494,-0.470626,0.507958,-0.048527,go_up
42:22.1,32.90814689,-80.10049238,32.254,35.717,1018.908,176.368653,358.701368,0.078192,-17.786327,24.349018,89.516266,0.116616,0.167527,0.932384,-0.084864,0.236734,0.019279,go_up
42:22.3,32.90814689,-80.10049238,32.272,36.072,1018.913,179.300361,358.347079,2.296228,-18.565556,23.691322,86.910164,0.099403,0.126495,1.073241,-0.164888,0.066302,0.826537,go_up
42:22.4,32.90813933,-80.10049238,32.396,35.597,1018.91,187.05793,355.906247,3.571124,-16.804745,23.856606,85.589783,-0.02888,-0.058135,0.883888,-0.127319,0.025069,0.810044,go_up
42:22.6,32.90813933,-80.10049238,32.432,35.906,1018.911,197.915759,352.576976,2.851289,-13.347755,24.036236,85.077171,0.049944,0.107314,0.686494,0.329608,0.023542,0.814626,go_up
